000 本書說明
001 第一回　　解簽詩指腹為婚
002 第二回　　逃遷後家貧葬父
003 第三回　　蔡斌彥厭貧退親
004 第四回　　注生廟誓約花燭
005 第五回　　為衣食星卜設教
006 第六回　　遭大變妻子俱亡
007 第七回　　因遊學喜逢詩友
008 第八回　　康夢鶴客齋夜夢
009 第九回　　蔡平娘魂棲玉真
010 第十回　　被奸人陷害沉船
011 第十一回　　卜玉真聞凶盡節
012 第十二回　　變一策打走光棍
013 第十三回　　幸有緣客鄉相會
014 第十四回　　出意外被奸拆離
015 第十五回　　處勢窮設計脫身
016 第十六回　　三及第榮授皇恩
017 第十七回　　接回雁惆悵凶信
018 第十八回　　能知足衣錦還鄉
