001 一枕奇 9746 第一卷 　　打關節生死結冤家　做人情始終全佛法
002 一枕奇 9747 第二卷 　　黃金榜被劫罵主司　白日鬼飛災生婢子
003 一枕奇 9748 第三卷 　　新貴惹秋風一場沒趣　寒儒辭鄉館百事難成
004 一枕奇 9749 第四卷 　　豔婢說春情文章有用　船家生毒計甥舅無知
005 一枕奇 9750 第五卷 　　成進士債主冤家齊證罪　說仇人泥犁刀劍總生花
006 一枕奇 9751 第六卷 　　輕財色真強盜說法　出生死大義俠傳心
007 一枕奇 9752 第七卷 　　一文錢活逼英雄　三杯酒隨身縲紲
008 一枕奇 9753 第八卷 　　真人不犯邪淫戒　出獄重生故舊災
009 一枕奇 9754 第九卷 　　揮金穴上官制下官　俠女娘談父還成父
010 一枕奇 9755 第十卷 　　舉罪廢雙俠報君恩　化貪癡一門成忠孝
