001 第一回　　酌美酒俠士談心　洗孝衣佳人彈淚
002 第二回　　勸孫婦委曲行情　死兒夫演成奇案
003 第三回　　訪案情烏公留意　聽口供俠士生疑
004 第四回　　驗屍場撫屍大慟　白話報閒話不平
005 第五回　　訊案由公堂飲恨　錄實供外界指疵
006 第六回　　春阿氏提署受刑　德樹堂沿銜訪案
007 第七回　　蓋九城請究陳案　烏翼尉拘獲普雲
008 第八回　　驗血跡普雲入獄　行酒令秋水談天
009 第九回　　項慧甫偵探女監　宮道仁調查例案
010 第十回　　露隱情母女相勸　結深怨姊妹生仇
011 第十一回　　賈婆子誇富題親　三蝶兒憐貧恤弟
012 第十二回　　講孝思病中慰母　論門第暗裡提親
013 第十三回　　沒奈何存心盡孝　不得已飲淚吞聲
014 第十四回　　宴新親各萌意見　表俠義致起波瀾
015 第十五回　　聶玉言樹底哭親　王長山旅中慰友
016 第十六回　　閱判詞傷心墜淚　聞噩耗覓跡尋蹤
017 第十七回　　避戈鳥世外求仙　薄命人獄中絕食
018 第十八回　　述案由歸功翼尉　慰幽魂別築佳城
