065 歷史通俗演義-明史 4823 第六十五回 　　胡宗憲用謀賺海盜　趙文華弄巧忤權奸
066 歷史通俗演義-明史 4824 第六十六回 　　汪寇目中計遭誅　尚美人更衣侍寢
067 歷史通俗演義-明史 4825 第六十七回 　　海剛峰剛方絕俗　鄒應龍應夢劾奸
068 歷史通俗演義-明史 4826 第六十八回 　　權門勢倒禍及兒曹　王府銀歸途逢暴客
069 歷史通俗演義-明史 4827 第六十九回 　　破奸謀嚴世蕃伏法　剿宿寇戚繼光衝鋒
070 歷史通俗演義-明史 4828 第七十回 　　誤服丹鉛病歸冥籙　脫身羈紲悵斷鼎湖
071 歷史通俗演義-明史 4829 第七十一回 　　王總督招納降番　馮中官訴逐首輔
072 歷史通俗演義-明史 4830 第七十二回 　　莽男子闖入深宮　賢法司力翻成案
073 歷史通俗演義-明史 4831 第七十三回 　　奪親情相臣嫉諫　規主闕母教流芳
074 歷史通俗演義-明史 4832 第七十四回 　　王宮人喜中生子　張宰輔身後籍家
075 歷史通俗演義-明史 4833 第七十五回 　　侍母膳奉教立儲　惑妃言誓神緘約
076 歷史通俗演義-明史 4834 第七十六回 　　據鎮城哱氏倡亂　用說客叛黨駢誅
077 歷史通俗演義-明史 4835 第七十七回 　　救藩封猛攻平壤　破和議再戰島山
078 歷史通俗演義-明史 4836 第七十八回 　　虎將征蠻破巢誅逆　蠹魚食字決策建儲
079 歷史通俗演義-明史 4837 第七十九回 　　獲妖書沈一貫生風　遣福王葉向高主議
080 歷史通俗演義-明史 4838 第八十回 　　審張差宮中析疑案　任楊鎬塞外覆全軍
081 歷史通俗演義-明史 4839 第八十一回 　　聯翠袖相約乞榮封　服紅丸即夕傾大命
082 歷史通俗演義-明史 4840 第八十二回 　　選侍移宮詔宣舊惡　庸醫懸案彈及輔臣
083 歷史通俗演義-明史 4841 第八十三回 　　大吃醋兩魏爭風　真奇冤數妃畢命
084 歷史通俗演義-明史 4842 第八十四回 　　王化貞失守廣寧堡　朱燮元巧擊呂公車
085 歷史通俗演義-明史 4843 第八十五回 　　新撫赴援孤城卻敵　叛徒歸命首逆伏誅
086 歷史通俗演義-明史 4844 第八十六回 　　趙中丞蕩平妖寇　楊都諫糾劾權閹
087 歷史通俗演義-明史 4845 第八十七回 　　魏忠賢喜得點將錄　許顯純濫用非法刑
088 歷史通俗演義-明史 4846 第八十八回 　　興黨獄緹騎被傷　媚奸璫生祠迭建
089 歷史通俗演義-明史 4847 第八十九回 　　排后族魏閹謀逆　承兄位信邸登基
090 歷史通俗演義-明史 4848 第九十回 　　懲淫惡闔家駢戮　受招撫渠帥立功
091 歷史通俗演義-明史 4849 第九十一回 　　徐光啟薦用客卿　袁崇煥入援畿輔
092 歷史通俗演義-明史 4850 第九十二回 　　中敵計冤沉碧血　遇歲饑嘯聚綠林
093 歷史通俗演義-明史 4851 第九十三回 　　戰秦晉曹文詔揚威　鬧登萊孔有德亡命
094 歷史通俗演義-明史 4852 第九十四回 　　陳奇瑜得賄縱寇　秦良玉奉詔勤王
095 歷史通俗演義-明史 4853 第九十五回 　　張獻忠偽降熊文燦　楊嗣昌陷歿盧象昇
096 歷史通俗演義-明史 4854 第九十六回 　　失襄陽庸帥自裁　走河南逆闖復熾
097 歷史通俗演義-明史 4855 第九十七回 　　決大河漂沒汴梁城　通內線恭進田妃舄
098 歷史通俗演義-明史 4856 第九十八回 　　擾秦楚闖王僭號　掠東西獻賊橫行
099 歷史通俗演義-明史 4857 第九十九回 　　周總兵寧武捐軀　明懷宗煤山殉國
100 歷史通俗演義-明史 4858 第一百回 　　乞外援清軍定亂　覆半壁明史收場
